"A Bad Bramstedt","3558495.0","5977056.0"
"A Barmstedt","3551043.0","5962671.0"
"A Barmstedt, Brunnenstraße","3550230.0","5962650.0"
"A Bönningstedt","3560209.0","5948551.0"
"A Boostedt","3566740.0","5987687.0"
"A Burgwedel","3560154.0","5946574.0"
"A Eidelstedt Zentrum","3559720.0","5942467.0"
"A Hasloh","3560823.0","5951875.0"
"A Henstedt-Ulzburg","3564765.0","5963057.0"
"A Kaltenkirchen","3563954.0","5967395.0"
"A Langenmoor","3543867.0","5960266.0"
"A Nützen","3560469.0","5970638.0"
"A Quickborn","3559743.0","5956015.0"
"A Quickborner Straße","3565417.0","5956315.0"
"A Schnelsen","3559987.0","5945047.0"
"A Sparrieshoop","3545290.0","5961387.0"
"A Tanneneck","3562258.0","5958688.0"
"A Ulzburg Süd","3564251.0","5960729.0"
"Achterdeich","3582981.0","5920396.0"
"Achterdiekbrücke","3580113.0","5922348.0"
"Achtern Born (Kindermuseum)","3556471.0","5939856.0"
"Achtern Brack (Ost)","3556497.0","5931060.0"
"Achtern Brack (West)","3556241.0","5931023.0"
"Achtern Styg","3557479.0","5939231.0"
"Achterschlag","3582252.0","5926970.0"
"Adendorf, An der Bünte","3597395.0","5906425.0"
"Adendorf, Danziger Weg","3595997.0","5906496.0"
"Adendorf, Dorfstraße","3595203.0","5906929.0"
"Adendorf, DRK-Heim","3596556.0","5906335.0"
"Adendorf, Elba","3595221.0","5908127.0"
"Adendorf, Friedhof","3596655.0","5906949.0"
"Adendorf, Grüner Weg","3595629.0","5905500.0"
"Adendorf, Heinrich-Hille-Straße","3596294.0","5906992.0"
"Adendorf, Im Gutspark","3596565.0","5907005.0"
"Adendorf, Kastanienallee","3597096.0","5906763.0"
"Adendorf, Katzenweg","3597254.0","5907107.0"
"Adendorf, Kirchweg","3595898.0","5906177.0"
"Adendorf, Königsberger Weg","3596107.0","5906699.0"
"Adendorf, Kornblumenweg","3595623.0","5907148.0"
"Adendorf, Kreuzkamp","3595879.0","5907015.0"
"Adendorf, Lindenweg","3595970.0","5905518.0"
"Adendorf, Moorchaussee","3596624.0","5907317.0"
"Adendorf, Neue Straße","3595524.0","5905692.0"
"Adendorf, Rauher Weg","3595792.0","5905913.0"
"Adendorf, Robert-Koch-Straße","3596970.0","5906765.0"
"Adendorf, Robert-Schumann-Straße","3595683.0","5907404.0"
"Adendorf, Röntgenstraße","3596706.0","5906550.0"
"Adendorf, Röthenweg","3595622.0","5906963.0"
"Adendorf, Sportzentrum","3597090.0","5907345.0"
"Adendorf, Steinweg","3596282.0","5905783.0"
"Adendorf, Teichaue","3596707.0","5907057.0"
"Adendorf, Virchowstraße","3596581.0","5906464.0"
"Adendorf, Von-Stauffenberg-Straße","3596143.0","5906545.0"
"Adendorf, Weinbergsweg","3595622.0","5906895.0"
"Adendorf, Weinbergsweg (Schule)","3595621.0","5906547.0"
"Adolf-Köster-Damm","3576207.0","5928813.0"
"Adolf-Menge-Platz","3565862.0","5930354.0"
"Afrikastraße","3565713.0","5933347.0"
"Agathe-Lasch-Weg","3559296.0","5936044.0"
"Agathenburg","3535287.0","5937076.0"
"Agathenburg, Schulstraße","3535273.0","5936776.0"
"Ahlerstedt, Grundschule","3529912.0","5918856.0"
"Ahlerstedt, Holzhäuserstraße","3530368.0","5919806.0"
"Ahlerstedt, In der Heide","3531464.0","5919873.0"
"Ahlerstedt, Paradies","3531728.0","5919313.0"
"Ahlerstedt, Schulzentrum","3529801.0","5918945.0"
"Ahlerstedt, Schulzentrum (AST-Halt)","3529791.0","5918944.0"
"Ahlerstedt, Stader Straße","3530129.0","5919371.0"
"Ahndorf","3616289.0","5893291.0"
"Ahrenlohe, Denkmal","3548570.0","5952951.0"
"Ahrenlohe, Krögers Gasthof","3549032.0","5953337.0"
"Ahrenlohe, Prisdorfer Weg","3549664.0","5953959.0"
"Ahrensburg","3581841.0","5949379.0"
"Ahrensburg Ost","3582192.0","5948498.0"
"Ahrensburg West","3580699.0","5948838.0"
"Ahrensburg, Ahrensfelde","3582348.0","5946754.0"
"Ahrensburg, Am Aalfang","3582689.0","5948787.0"
"Ahrensburg, Am Alten Markt","3582008.0","5950272.0"
"Ahrensburg, Am Birkenhain","3581870.0","5947497.0"
"Ahrensburg, Am Golfplatz","3579780.0","5950135.0"
"Ahrensburg, Am Haidschlag","3579814.0","5949759.0"
"Ahrensburg, Am Hopfenbach","3583041.0","5950423.0"
"Ahrensburg, Am Kratt","3580015.0","5946078.0"
"Ahrensburg, Am Neuen Teich","3580784.0","5949179.0"
"Ahrensburg, An der Strusbek (Nord)","3583693.0","5951637.0"
"Ahrensburg, An der Strusbek (Süd)","3583748.0","5951266.0"
"Ahrensburg, Bahnhofstraße","3581593.0","5949299.0"
"Ahrensburg, Beimoorweg","3582886.0","5950631.0"
"Ahrensburg, Berufsschule","3581426.0","5950416.0"
"Ahrensburg, Bornkampsweg (Ost)","3580262.0","5948322.0"
"Ahrensburg, Brombeerweg","3580299.0","5946100.0"
"Ahrensburg, Brückenstraße","3581238.0","5949166.0"
"Ahrensburg, Burgweg","3581714.0","5947767.0"
"Ahrensburg, Dänenweg","3580514.0","5946074.0"
"Ahrensburg, Ellenbogen","3582542.0","5950754.0"
"Ahrensburg, Elsterweg","3581903.0","5947751.0"
"Ahrensburg, Ewige Weide","3583038.0","5951560.0"
"Ahrensburg, Finkenweg","3582228.0","5948113.0"
"Ahrensburg, Friedhof","3579970.0","5948348.0"
"Ahrensburg, Fritz-Reuter-Straße","3581288.0","5949916.0"
